app,test_name,seq_len,num_seq,repeat,cpg,pod_unique_data,speed,kernel_time_sec,gcups,arith_intensity_ops_per_byte,ops_per_elem,n_elems,achieved_bw_GB_s,achieved_gops_s
dummy/roofline,ops_16384__n-elems_4194304__repeat_7,,,1,8,0,slow_sim32x,93.361134377,N/A,4096.0000,16384,4194304,0.0128,47.1072
dummy/roofline,ops_16__n-elems_4194304__repeat_128,,,6,8,0,slow_sim32x,2.707168508,N/A,4.0000,16,4194304,2.3808,9.5200
dummy/roofline,ops_192__n-elems_4194304__repeat_120,,,6,8,0,slow_sim32x,7.153166661,N/A,48.0000,192,4194304,0.8992,43.2320
dummy/roofline,ops_1__n-elems_4194304__repeat_128,,,6,8,0,slow_sim32x,2.463352475,N/A,0.2500,1,4194304,2.6144,0.6528
dummy/roofline,ops_2048__n-elems_4194304__repeat_36,,,1,8,0,slow_sim32x,14.238353826,N/A,512.0000,2048,4194304,0.0768,38.6112
dummy/roofline,ops_24__n-elems_4194304__repeat_128,,,6,8,0,slow_sim32x,2.776435822,N/A,6.0000,24,4194304,2.3200,13.9232
dummy/roofline,ops_256__n-elems_4194304__repeat_112,,,5,8,0,slow_sim32x,7.811538618,N/A,64.0000,256,4194304,0.6880,43.9872
dummy/roofline,ops_2__n-elems_4194304__repeat_128,,,6,8,0,slow_sim32x,2.461440575,N/A,0.5000,2,4194304,2.6176,1.3088
dummy/roofline,ops_3072__n-elems_4194304__repeat_30,,,1,8,0,slow_sim32x,17.735576128,N/A,768.0000,3072,4194304,0.0608,46.4960
dummy/roofline,ops_32__n-elems_4194304__repeat_128,,,6,8,0,slow_sim32x,2.985249129,N/A,8.0000,32,4194304,2.1568,17.2640
dummy/roofline,ops_384__n-elems_4194304__repeat_104,,,5,8,0,slow_sim32x,11.443830493,N/A,96.0000,384,4194304,0.4704,45.0368
dummy/roofline,ops_3__n-elems_4194304__repeat_128,,,6,8,0,slow_sim32x,2.485841921,N/A,0.7500,3,4194304,2.5920,1.9424
